Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
Adria Airways,1,"""Very bad experience overall""",5th October 2018,False, Zurich to Ljubljana. Very poor customer service. Flight was cancelled without sending any email confirmation. The flight I was rebooked seemed to be overbooked at the beginning (which was not true)and we had to wait 30 min to have our ticket changed. Very bad experience overall.,,Business,Economy Class,Zurich to Ljubljana,October 2018,1.0,1.0,,1.0,1.0,1.0,1.0,no
Adria Airways,1,"""bad customer service""",29th July 2018,True," Vienna to Sofia. The flight was delayed by 2 hours. The cabin crew was annoyed that they had to offer drinks to the passengers and passing by announced they would only give one drink per customer. And coffee was a nuisance and they made it clear, even though it was on their cart. The questions would normally go ""would you drink anything?"" and not ""what would you like to drink?"". Very bad customer service.",,Family Leisure,Economy Class,Vienna to Sofia,July 2018,1.0,1.0,1.0,1.0,,,1.0,no
Adria Airways,2,"""overall very poor""",19th July 2018,True," We were traveling from Paris to Skopje on May 4th, via Ljubljana. Our flight from Ljubljana to Skopje, was canceled 10 days before our departure for no reason, leaving us in the middle of our connection at Ljubljana. Even if the company booked a hotel for us and made sure we could take a flight the next day, it prevented us from enjoying one more day in Macedonia. The company had agreed to reimburse the hostel night we had already paid but more than two months after our claim we still have no reply from the company. I e-mailed the company two times, called them on multiple occasion. The company said I would be reimbursed after 2 months. 2 months later, I still have not received anything. The experience with Adria Airways was overall very poor : - flight canceled for no reason - 2 out of 4 of the flights we took were delayed - terrible customer service, unable to give any answer to our online claim and not reimbursing the hostel night we had already paid",,Solo Leisure,Economy Class,Paris to Skopje via Ljubljana,May 2018,1.0,1.0,,1.0,,,1.0,no
Adria Airways,2,"""Would not fly again""",30th June 2018,True," Ljubljana to Munich. Adria's checkin system is obviously barely coping. It wasn't possible to obtain an electronic boarding pass (iphone wallet version) from Adria's site. The option was there but it failed without any further explanation. Further more I was not able to checkin to return flight online - neither through Adria nor Lufthansa web site. In the end I made it via Lufthansa mobile app. Go figure. Both issues were reported to customer care and both were ignored. I experienced the same customer care ""policy"" couple of years ago when my inquiry with customer support was basically ignored. Flight was actually operated by a Romanian company Carpatair. The cabin was outdated and dirty with a funny smell lingering around. The latter stuck to my clothes for the day - not that great if you are meeting a client. Cabin crew was also quite disorganised and mixed up orders of all passengers sitting around me. Would not fly again. Unfortunately they are the only company offering a direct flight from LJU to MUC.",,Business,Economy Class,Ljubljana to Munich,June 2018,1.0,1.0,1.0,1.0,,,1.0,no
Adria Airways,3,"""very unpleasant experience""",24th June 2018,True," A very unpleasant experience for my family. We bought two return flights (Ljubljana-Prague-Ljubljana, Ljubljana-Warsaw-Ljubljana), and several days before departure both direct flights from and to Prague were canceled and a flight to Warsaw was merged with Prague flight (so added necessary stopover). Instead of a direct flight to Prague Adria Airways finally offered a transfer via Munich. When we arrived at the airport (21/6/2018), we found that the flight to Munich had more than an hour of delay, and therefore it was not possible to catch the next flight from Munich to Prague. The flight to Munich was full of people from the original canceled flight to Prague, who subsequently wanted to continue to Prague. Although the Adria Airways staff were present at the airport, no one came to inform the passengers and the result was tremendous confusion and lack of information. Ljubljana airport servicing staff finally informed us that Adria Airways staff refused to come! Also wasn't possible to call the Adria Airways hotline. Maybe it had been overloaded due to the number of disgruntled passengers because the next gate was full of people waiting for a delayed flight to Vienna, where there also wasn't anybody from Adria Airways who could provide any information. Unfortunately this flight left without us and we were all forced to ride from the Munich airport to a more than 30 km distant hotel and the next morning at 6am again back. Permanent cancellation of flights and subsequent ignorance of passengers are surely a way to reduce operating costs, but in the long-term this will cause the outflow of passengers to other airports around Slovenia, especially to Graz and to Zagreb.",A319,Couple Leisure,Economy Class,Ljubljana to Prague,June 2018,1.0,1.0,,1.0,,,1.0,no
Adria Airways,1,"""Flight was very comfortable""",4th May 2018,True," Frankfurt to Ljubljana. Flight was very comfortable, professional crew. The monitors above passengers provide informations about flight (speed, altitude, temperature, time to landing, etc.)",,Business,Economy Class,Frankfurt to Ljubljana,April 2018,1.0,1.0,1.0,1.0,,,1.0,yes
Adria Airways,1,"""delayed for more than 2 hours""",11th March 2018,True," Ljubljana to Frankfurt. Flight delayed for more than 2 hours due to technical problems. We were not given any food or water and when I requested some I was told to complain to Adria Airways website. Another plane was organized, more than 2 hrs later. The staff was trying to convince the passengers that their connection to Singapore will wait (they had 15 min in between the new flight arrival time and departure!), and that the flight to Frankfurt is 1 hr - and no wifi connectivity on flight!",,Solo Leisure,Economy Class,Ljubljana to Frankfurt,March 2018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Adria Airways,3,"""should be ashamed of their operations""",5th December 2017,True," Ljubljana to Vienna. Overall, the flight services of Adria are those of an average, reliable, small European carrier. I have flown them many times over the years, and I have seldom experienced any problems with the flights themselves. Returning to Vienna from a visit to Albania and Slovenia in September, however, I had an encounter with Adria that has revealed just how much their customer service quality could be improved. Adria offers opportunities to purchase business class upgrades or empty economy class seats through Optiontown. Business class upgrades on Adria are a joke because you're paying at least 50EUR for an empty seat next to you and a snack. The option to purchase an empty economy class seat at 19EUR is a great deal though, in my opinion. Having selected this option for my LJU-VIE flight, I received a confirmation that my transaction had cleared and the extra seat had been assigned next to me. Fast forward to the actual flight: there had been an aircraft change from the CRJ-900 to an ATR-72 (Darwin Airlines/Etihad Regional), but I still had my empty seat. The ATR-72 has two seats that face towards the rear of the plane at the front of the cabin, and one of the women seated there was scared to fly backwards, so the flight attendant unilaterally reassigned her to my empty seat without asking. It's a short flight, and I didn't want to cause a scene, so I just let it all happen assuming I could easily get a refund for my 20EUR transaction. It took exactly one month for Adria's customer service team to respond to me, and they said that my ""business class upgrade"" had not cleared, so I was not charged. I had never requested a business class upgrade, and I was charged for the empty seat I had in fact requested, so I sent all of the relevant receipts and statements back to Adria. Three weeks later, I still have yet to receive a response, so I simply disputed the charge with my credit card company that was easily able to understand the issue and refunded the money. 3-4 weeks+ response time from customer service is absolutely embarrassing, and Adria should be ashamed of their operations. It's sad for an otherwise perfectly acceptable airline to lose a customer over 20EUR.",ATR-72,Solo Leisure,Economy Class,Ljubljana to Vienna,September 2017,1.0,1.0,1.0,1.0,,,1.0,no
Adria Airways,9,"""Two nice short flights""",20th November 2017,True,"Two nice short flights from Ljubljana to Sarajevo and back. First flight with Adria, flight back with Adria Switzerland. Flight to Sarajevo delayed due to fog in Sarajevo, Adria quickly changed an aircraft so that it was possible to land in foggy weather (CRJ instead of ATR). Product depends weather it is Adria or Adria Switzerland. Adria with snack, water and buy on board product, Adria Switzerland with snack, water, tea and coffee and without buy on board. I personally prefer the second option. Adria Switzerland provided nicer and cosier atmosphere on board, somehow a kind of premium product compare to Adria mainline.",CRJ700 / ATR72,Business,Economy Class,Ljubljana to Sarajevo,November 2017,1.0,1.0,1.0,1.0,,,1.0,yes
Adria Airways,2,"""extremely bad service""",27th October 2017,False,We were 11 people coming in with a short connection to Zurich hoping to continue with Adria to Ljubjana. We were before final call at the departure gate. Other people were still boarding. Adria had decided to rebook us and could not put us back on the plane. I and my wife had no checked in baggage. We had to wait 5 hours for next flight. This was extremely bad service and will do our utmost to never have to fly Adria again. We will also warn all our flying friends.,,Couple Leisure,Economy Class,Zurich to Ljubjana,October 2017,1.0,1.0,,1.0,,,1.0,no
Adria Airways,2,"""never fly this airline again""",16th September 2017,False," Ljubljana to Munich after arriving from Atlanta on Delta. Flight was ok, short 50 min. But they lost our baggage, if we didn't persistently call the airport we wouldn't have our bags for a week because they are lazy. One bag was badly damaged and things missing. We did everything they told us to do to report it but they didn't honor it and it took 3 months for them to pay us around 20% of the replacements and extra expenses we had for days. Very rude, try to blame it on the customer, if you don't live in Slovenia and your only communication is over emails it takes 2 to 3 weeks for them to reply even if you send them email right after they sent one. That day they lost baggage for 3 different passengers and when we had our return flight there were two more passengers that said they lost their bags so this is normal for that airline. It was a cheaper option to fly with them, but it was not worth the extra cost later. I would never fly this airline again. ",,Family Leisure,Economy Class,Ljubljana to Munich ,June 2017,1.0,1.0,1.0,1.0,,1.0,1.0,no
Adria Airways,9,"""can't remember a flight delay""",19th April 2017,False,"Ljubljana to Zurich on April 18th. Adria Airways has become in recent years a more reliable airline which I use for these flights. I can't remember a delay and I fly them once a month. Flight Attendants are professionel. Food and Drinks (except water) have to be purchased. Sandwiches are tasty, wine choice could be better. Newspapers are available for free but mostly in Slovenian language only. Seat pitch on emergency exits are above international standards and safety seems to be their Nr. 1 aim as it is one of the rare airlines having extra safety instructions for passengers seated on emergency exit seats. Their inflight magazine is available online or printed. Not necessarily exciting but solid and reliable product which I can recommend.",CR9,Business,Economy Class,Ljubljana to Zurich,April 2017,1.0,1.0,1.0,1.0,1.0,,1.0,yes
Adria Airways,8,"""seat was quite comfortable """,27th January 2017,False," Ljubljana to Vienna. After a fast boarding procedure the plane took off in time. The seat was quite comfortable although the cabin looked a bit nagged. Despite the fact that this was a regional flight, Adria Airways offered a Wifi service with good connection, an IFE system and free chat function amongst the passengers. A very friendly crew welcomed the passengers onboard and started their service which was pretty impressive for this 50 minutes flight. The business meal tasted great and we landed punctually in Vienna.",Canadair 700,Solo Leisure,Business Class,LJU to VIE,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,yes
Adria Airways,1,"""nice and comfortable flights""",10th November 2016,False," Two very short flights with Adria Airways from Ljubljana to Vienna and back. Both on time. CRJ aircrafts new, cabin fresh and seats comfortable. On both flights welcome from the flight deck with all information about the flight before take-off. Cabin crews polite and professional. Overall nice and comfortable flights.",CRJ900,Business,Economy Class,LJU to VIE,October 2016,1.0,1.0,,1.0,,,1.0,yes
Adria Airways,8,"""what a great surprise""",9th November 2016,False," I boarded the CRJ900 flight and at my seat I had the table down and on it a pre-flight snack, water and juice. What a great surprise as you arrive to your seat. Loved it. Although the meal wasn't the best, it was good and the wine very good. The first row is very spacious and lots of legroom, which is not always guaranteed for bulkhead. I find the new generation CRJ900 plane very comfy with big windows so was very pleased with the whole flight.",CRJ900,Solo Leisure,Business Class,LJU to CPH,November 2016,1.0,1.0,1.0,1.0,,,1.0,yes
Adria Airways,5,"""value for money is not there nor the experience""",3rd November 2016,False," Fly only if no other connection, I am a frequent business flyer mostly departing from Vienna or Munich to destinations. The flight with Adria was chosen due to convenience, however if I had an option to choose next time, the value for money is not there nor the experience. Outdated aircraft (buzzing from AC in the upper compartment present the whole time of descending and extremly anoying. Complimentary glass of water and snack (pretzles). Other options only upon payment (does not seem acceptable fot the price over 400 eur). Not to mention online check in unavailable from Paris, while the traffic to the airport is unpredictable, hence online check in is a must. All in all I would fly Adria again only if there is no other option left. The aircraft staff though very nice.",,Business,Economy Class,CDG to LJU,November 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Adria Airways,2,"""fleet is tired and outdated""",21st October 2016,False," Munich to Ljubljana. Adria Airways as the national carrier pretty much holds a monopoly in this market and even those few carriers who had flown limited scheduled routes into the Slovenian capital, Air France and Swiss, have regretfully withdrawn their services. I have spent a lifetime of flying and the Adria product, I am sorry to say, is grossly inadequate. There is nothing appealing about Adria's offering and what incentive do they have to lift their standard when there is no competition to stimulate improvement? The entire fleet is tired and outdated. The business class product is non existent, staff are at best disinterested, leaning towards unfriendly. And what's with those announcements? They are completely impossible to understand, not just in English and German but also in Slovenian. If not having flown as often as I have to know what the announcements are about, there is no hope in hell that a normal person can understand the dribble that comes over the PA. Guess how many uninformed passengers does that make for? If one is not fluent in a language, and heavily accented, then one must slow down so others can hopefully understand you. But what's their excuse of not pronouncing Slovenian correctly. Everything is executed at such a speed so they can place a tick against that task, yet no care is invested to make sure the task is executed effectively. ! Pick up your game or your end will come one day when monopoly is broken (look around the world to learn from other such stories).  I have found a solution to avoid flying Adria Airways where possible - Turkish Airlines presence is now pretty strong in LJU and I can't fault their service. Whenever flying into LJU from a geographical destination where IST is a logical place to transit, TK is my carrier of choice.",CRJ-900,Solo Leisure,Economy Class,MUC to LJU,October 2016,1.0,1.0,1.0,1.0,1.0,,1.0,no
Adria Airways,3,"""underwhelming and unimpressive""",10th October 2016,False," Ljubljana to Amsterdam. First experience with Adria Airways was underwhelming and unimpressive. Flight sat on tarmac fully boarded for 20 minutes without explanation; causing 20 minute delay on arrival without comment from crew and despite many passengers with tight connections in AMS. Crew was the least personal I've experienced in my 30+ flights in 2016. The crew quickly passed through the cabin holding a large bottle of water but without offering it; everything else is buy-on-board at unappealing prices. Aging CRJ-900 showed its wear, limited on-air entertainment, but able to select bulkhead seat at check-in so legroom was good. Compared to inbound flight on Air France, Adria lacked any sort of the polished, personal touch that its in-flight magazine claims it wants to project. To LJU, however, the options are few and the schedules erratic, so Adria will often be the only rational choice for many sectors.",CRJ-900,Solo Leisure,Economy Class,LJU to AMS,October 2016,1.0,1.0,1.0,1.0,1.0,,1.0,no
Adria Airways,3,"""very different experiences""",30th September 2016,False," Ljubljana to Brussels. Two very different experiences. Flight from Ljubljana to Brussels nice and comfortable, CRJ900 cabin clean and pleasant. Very professional and nice cabin crew on JP376 flight on Aug 03. JP395 flight back on Aug 30 could not be more different. A319 cabin tired and uncomfortable, flight almost empty, cabin crew could not be more unprofessional, tired and not interested. A nightmare of a crew. The worst was a purser. I have never experienced such unmotivated flight attendant with totally not acceptable appearance. You can have a bad day, however even if it is your worst day ever, you should look professional enough for a flight purser. At the end of the day with buy on board service on JP flights the flight attendants make all the difference on board of the aircraft.",CRJ900 / A319,Couple Leisure,Economy Class,LJU to BRU,August 2016,1.0,1.0,,1.0,,,1.0,no
Adria Airways,6,"""staff were all pleasant enough""",4th September 2016,False,"Booked this flight after many years using Easyjet, got the flight at a very reasonable price, actually cheaper than easyJet. Flight outbound and inbound were ok and although departing slightly late, we arrived pretty close to scheduled time, outbound landing in Ljubljana was a bit rough. The staff were all pleasant enough and served complementary water, a small selection of other food and drink were for sale but some advertised items were not available. Seating is now a bit cramped with even less leg room than Easyjet, I am just 6' and my kness were toching the seat in front and were crushed further by the person in front moving and the person behind digging their knees into my back as thay wer oviosly struggling for room too. Much more cramped than the previous time I flew Adria over 10 years ago.",A319,Family Leisure,Economy Class,MAN to LJU,September 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,yes
Adria Airways,3,"""Adria do not take criticism well""",6th August 2016,False," Gatwick to Ljubljana. Do not rely on Adria Airways to be communicative when anything goes wrong. My luggage went missing and nothing until they wanted to deliver it 10 days later. Adria do not take criticism well. I would say they are in denial most of the time. Their computer systems, like their staff, do not talk to each other. You have been warned!",,Couple Leisure,Economy Class,LGW to LJU,July 2016,1.0,1.0,,1.0,,,1.0,no
Adria Airways,1,"""Clean and fresh aircraft """,29th July 2016,False," Tallinn to Stockholm with Adria Airways. Clean and fresh aircraft with Nordica livery. Pleasant boarding staff, clear announcements from FAs and cockpit informative. An innovative approach to meal service - selection of ""make your own sandwich"" - very fresh for 5.50 euros. Coffee, tea and water complimentary. Flight slightly delayed because of technical overhaul.",Canadair 700,Solo Leisure,Economy Class,TLL to ARN,July 2016,1.0,1.0,1.0,1.0,,,1.0,yes
Adria Airways,8,"""the airline did its job""",13th July 2016,False,"Flew roundtrip on this short route from Zurich to Ljubljana with Adria Airways. On-time departure and arrival both times. No turbulence. Splendid views of the Alps. Both times, at both locations, bus trip to aircraft located off-gate. Flight announcements in Slovenian and passable English. A small glass of water served. Everything else - from cola to candy to croissant - available for purchase. Was able to select my seat in advance. Luggage left at staircase was available for retrieval at bottom of stairs on arrival. Ticket and gate agents very polite and spoke excellent English. The airline did its job. It got me to my destination on time. It is an impressive and efficient small airline that made the journey very pleasant.",CRJ 900,Business,Economy Class,ZRH to LJU,July 2016,1.0,1.0,1.0,1.0,,,1.0,yes
Adria Airways,1,"""nice and professional service""",11th July 2016,False," Two short flights with Adria Airways (Ljubljana - Zurich and Munich -Ljubljana), both on time, aircrafts new, cabin bright and clean. Nice and professional service on both flights. On the morning flight out of Ljubljana I did not take any free newspapers and just said that I will sleep. The chief flight attendant before take off brought me a pillow for a more comfortable sleeps. Nice touch.",CRJ900,Solo Leisure,Economy Class,LJU to ZRH,July 2016,1.0,1.0,,1.0,,,1.0,yes
Adria Airways,6,"""cabin staff rather absent""",10th July 2016,False,"Lodz to Paris CDG and Munich to Lodz with Adria Airways. Decent service for short hops, like those I took. Small and cramped cabin in a clean CRJ700. The flight LCJ-CDG was nearly empty, so I felt like being in a private jet. MUC-LCJ with 65% load factor. Check-in via internet with an option to select seats without any problem, both flights on time. Cabin staff rather absent, just served a glass of water for free. Although we were informed about possibility to connect to on-board wi-fi, I couldn't manage to do that. If you do not expect a 5-star service, Adria should be a good option for quick and not too expensive flight.",CRJ700,Solo Leisure,Economy Class,LCJ to CDG,July 2016,1.0,1.0,1.0,1.0,1.0,,1.0,yes
Adria Airways,3,"""never flying them again""",25th January 2016,False,"Adria Airways flight from Pristina to Munich was smooth, return flight was terrible. Get notified flight is delayed (can see it on tarmac). Told there is a technical issue and we will fly to Ljubljana, Slovenia for a connecting flight. Reality, the flight was half full and we were forced onto another Adria flight so they could save a buck. Our recompense, a free meal at airport. Never flying with them again. When Lufthansa reps tell you this always happens it should be a sign.",,Solo Leisure,Economy Class,MUC to PRN,January 2016,1.0,1.0,1.0,1.0,1.0,,1.0,no
Adria Airways,5,"""similar to low cost airline""",4th December 2015,False,"Ljubljana to Amsterdam in Adria Airways Economy class. No free snacks or even drinks, which is very sad for a Star Alliance partner, because their fare prices are high but offer is similar to low cost airlines. Beverages which they sell in their ""Air shop"" looks nice on advert, beautiful pictures, but when you buy it, you get small sandwich with bad taste. I figured out It's better to buy a sandwich in airport caffe, than onboard.",A319,Couple Leisure,Economy Class,LJU to AMS,September 2015,1.0,1.0,,1.0,,,1.0,no
Adria Airways,7,"""what happened in last few months""",3rd October 2015,False,"14 flights with Adria Airways this year. Flights usually on time, new aircraft, clean and bright cabins. Cabin crew members can be nice and professional or just fine. I do not know what happened in last few months; according to the last flight experience, this is not the right direction. On a flight to Moscow I experienced cabin crew getting from gloomy on a flight to SVO to even gloomier on a flight back to LJU. No smiles, just robotic and not interested in passengers and their comfort.  Well, at the end of the day, the real difference is the crew attitude. ",CRJ900,Solo Leisure,Economy Class,Ljubljana to Moscow,September 2015,1.0,1.0,1.0,1.0,,,1.0,yes
Adria Airways,9,"""very friendly and helpful staff""",20th September 2015,False,"Flew in business class on Adria Airways  A319 on this short flight (1 h) from SKP to LJU. Very friendly and helpful staff - excellent business class service including a hot meal, warm bread cheese and marmalade. Better than the LH business class service. Flight arrived 25 minutes before STA - good job. Information about the route, weather and connections were given by the captain. Legroom in row 1 good, nice seats. Highly recommended this small but very functional airline.",A319,Business,Business Class,SKP to LJU,September 2015,1.0,1.0,1.0,1.0,1.0,,1.0,yes
Adria Airways,5,"""service onboard was poor""",9th September 2015,False,"Frankfurt to Ljubljana with Adria Airways. Boarding was on-time, but aircraft was parked on remote gate about 15 minutes from main terminal. So we departed about 25 minutes late. Service onboard was poor, with no complimentary drinks or snacks - they are available only for sale. Arrival was 15 minutes later than scheduled. Crew was friendly.",CRJ 900,Family Leisure,Economy Class,Frankfurt to Ljubljana,February 2015,1.0,1.0,,1.0,,,1.0,no
Adria Airways,6,"""service of a low cost airline""",4th September 2015,False,"Adria Airways has the price of a regular airline, but the service of a low cost airline. All the beverages and food are for purchase. The seats are fine, staff is friendly. Since we usually travel very early in the morning or very late in the evening, we use the flight to rest. Every time we ask for a pillow, we get one. It might sound strange, but this is very important for us.",,Family Leisure,Economy Class,Ljubljana to Brussels,August 2015,1.0,1.0,,1.0,,,1.0,yes
Adria Airways,1,"""staff friendly but unobtrusive""",2nd September 2015,False,"Excellent flights both ways with Adria Airways from Manchester to Ljubljana. Staff friendly but unobtrusive. Leg room far better than most economy flights, seats comfy and plenty of storage space. Flights on time, quick and efficient boarding and disembarking, smooth take offs and landings. All in all a very pleasant experience.",A319,Family Leisure,Economy Class,Manchester to Ljubljana,August 2015,1.0,1.0,,1.0,,,1.0,yes
Adria Airways,7,Adria Airways customer review,10th April 2015,False,Outbound flight FRA/PRN A319. 2 hours 10 min flight. I thought drinks/snacks for sale but sandwich soft drinks were served complimentary. Inbound flights SKP/LJU/FRA CRJ900. each 1 hour 30 min flight. Skyshop menu was in a seat pocket and drinks/snacks were for sale. All flight crews were friendly. Security check at the Ljubljana airport for transit passengers was chaos however it's possible to go to a gate within 30min.,,,Economy Class,,,1.0,1.0,1.0,,,,1.0,yes
Adria Airways,1,Adria Airways customer review,5th January 2015,False,Two short hops ZRH-LJU and LJU-VIE. Very fast on CRJ 90. Seats comfortable and crew was fine. Ground services good and lounge was quite nice.,,,Business Class,,,1.0,1.0,1.0,,1.0,,1.0,yes
Adria Airways,9,Adria Airways customer review,14th September 2014,False,Flew Zurich-Ljubljana on JP365 newish CRJ900. Flight almost full departure on time. Service on board by 2 pleasant and friendly female flight attendants. I bought coffee mineral water and a very nice and fresh filled croissant for EUR 6. Good value!,,,Economy Class,,,1.0,1.0,1.0,,,,1.0,yes
Adria Airways,8,Adria Airways customer review,6th September 2014,False,Adria serves this 100 min flight from Ljubljana to Amsterdam on a brand new CRJ900 Next Gen which has a hugely improved cabin. Much more spacious higher ceiling and with big windows. The seats seem to be more comfortable and have more legroom. The business class is not separated from the main cabin though not even with the standard back seat curtain. The food offering could be slightly improved for usually I've had good meals on Adria.,,,Business Class,,,1.0,1.0,1.0,,1.0,,1.0,yes
Adria Airways,4,Adria Airways customer review,16th June 2014,False,"WAW-SKJ Economy. No free snacks or drinks on this Star Alliance partner. Just full legacy carrier fares for basically a budget airline. Flying out of Poland had no Euros or USD on me. I was thirsty and asked to purchase a bottle of water. The stewardess said that I could not buy it and could not use a credit card or purchase it in cash without their preferred currency. When I pointed out that they were able to sell duty free with visa cards she huffed and puffed and basically said it would be ""difficult"". She never offered me a tiny cup of water. On the way back I switched to Turkish Airlines via IST and got a free 3 course meal on both segments and friendly service.",,,Economy Class,,,1.0,1.0,1.0,,1.0,,1.0,no
